id,name,category,brand,type,cpu,gpu,ram,ssd,screen,batteryWh,batteryRuntime,demand,stock,rating,reviews,promo_vi,promo_en,price,oldPrice,condition_vi,condition_en,badge_vi,badge_en,specs_vi,specs_en,variants_json,color,image,sourceUrl
1,"THINKPAD T14s GEN 2 – Laptop Doanh Nhân Cao Cấp | 32GB RAM, Core i7, Màn Hình FullHD Touch",laptop-cu,Lenovo,catalog,i7-1185G7,Intel Iris Xe Graphics,32GB,256GB,"14""",57,3-5 giờ,office,3,"4,7",12,Hàng tuyển chọn tại Laptop OSCAR,Laptop OSCAR selected device,13.500.000,15800000,Máy cũ,Máy cũ,Liên hệ xác nhận hàng,Contact to confirm,"i7-1185G7 | 32GB RAM | 256GB SSD | 14"" Touch FHD","i7-1185G7 | 32GB RAM | 256GB SSD | 14"" Touch FHD",,#f15a24,/product-images/098-thinkpad-t14s-gen-2-1-8896f4af23ce.png,https://nextgold.vn/thinkpad-t14s-gen-2/
2,"Dell Latitude 7400 2-in-1 | Laptop Doanh Nhân Cao Cấp – Xoay Gập 360° với Core i7/i5, 16GB RAM, 512GB SSD",laptop-cu,Dell,catalog,i7-8665U / i5-8365U,Intel UHD Graphics 620,16GB,512GB,"14""",78,4-6 giờ,office,3,"4,7",12,Hàng tuyển chọn tại Laptop OSCAR,Laptop OSCAR selected device,8.800.000,9800000,Máy cũ,Máy cũ,Liên hệ xác nhận hàng,Contact to confirm,"i7-8665U / i5-8365U | 16GB RAM | 512GB SSD | 14"" 2-in-1","i7-8665U / i5-8365U | 16GB RAM | 512GB SSD | 14"" 2-in-1","[{""label"":""Core i5 / 16GB / 512GB"",""cpu"":""i5-8365U"",""gpu"":""Intel UHD Graphics 620"",""ram"":""16GB"",""ssd"":""512GB"",""price"":8800000},{""label"":""Core i7 / 16GB / 512GB"",""cpu"":""i7-8665U"",""gpu"":""Intel UHD Graphics 620"",""ram"":""16GB"",""ssd"":""512GB"",""price"":9800000}]",#255f85,/product-images/096-dell-latitude-7400-2-in-1-4-74543a954a62.png,https://nextgold.vn/dell-latitude-7400-2-in-1/
3,"Dell Latitude 7420 2-in-1 | Laptop Doanh Nhân Cao Cấp Nhôm Nguyên Khối – Core i7, 16GB RAM, 512GB SSD",laptop-cu,Dell,catalog,i7-1185G7,Intel Iris Xe Graphics,16GB,512GB,"14""",63,4-6 giờ,office,3,"4,7",12,Hàng tuyển chọn tại Laptop OSCAR,Laptop OSCAR selected device,12.800.000,14800000,Máy cũ,Máy cũ,Liên hệ xác nhận hàng,Contact to confirm,"i7-1185G7 | 16GB RAM | 512GB SSD | 14"" 2-in-1","i7-1185G7 | 16GB RAM | 512GB SSD | 14"" 2-in-1",,#255f85,/product-images/097-dell-latitude-7420-2-in-1-i7-1185g7-1-41327e41c6ef.jpg,https://nextgold.vn/dell-latitude-7420-2-in-1/
4,"Dell XPS 13 9310 | Laptop Doanh Nhân Cao Cấp, Cảm Ứng Xoay Gập, i7-1165G7 / i7-1185G7",laptop-cu,Dell,catalog,i7-1165G7,Intel Iris Xe Graphics,8GB,256GB,"13.3""",51,4-7 giờ,office,3,"4,7",12,Hàng tuyển chọn tại Laptop OSCAR,Laptop OSCAR selected device,16.500.000,20500000,Máy cũ,Máy cũ,Liên hệ xác nhận hàng,Contact to confirm,"i7-1165G7 | 8GB RAM | 256GB SSD | 13.3"" Touch 2-in-1","i7-1165G7 | 8GB RAM | 256GB SSD | 13.3"" Touch 2-in-1","[{""label"":""Cấu hình 1"",""cpu"":""i7-1165G7"",""gpu"":""Intel Iris Xe Graphics"",""ram"":""8GB"",""ssd"":""256GB"",""price"":16500000},{""label"":""Cấu hình 2"",""cpu"":""i7-1185G7"",""gpu"":""Intel Iris Xe Graphics"",""ram"":""8GB"",""ssd"":""256GB"",""price"":17500000}]",#255f85,/product-images/089-dell-xps-13-9310-i7-1-2c2bec4a6c29.png,https://nextgold.vn/dell-xps-13-9310/
5,"ThinkPad X1 Carbon Gen 11 | Laptop Văn Phòng Cao Cấp, i7-1365U, 32GB RAM, 1TB SSD",laptop-cu,Lenovo,catalog,i7-1365U,Intel Iris Xe Graphics,32GB,1TB,"14""",57,4-7 giờ,student,3,"4,7",12,Hàng tuyển chọn tại Laptop OSCAR,Laptop OSCAR selected device,24.500.000,26500000,Máy cũ,Máy cũ,Liên hệ xác nhận hàng,Contact to confirm,"i7-1365U | 32GB RAM | 1TB SSD | 14""","i7-1365U | 32GB RAM | 1TB SSD | 14""",,#f15a24,/product-images/094-thinkpad-x1-carbon-gen-11-1-e70235255d60.png,https://nextgold.vn/thinkpad-x1-carbon-gen-11/
6,"Dell XPS 13 Plus 9320 – i7-1260P, 32GB RAM, 13.4” FHD+ Touch, Chip P Cao Cấp",laptop-cu,Dell,catalog,i7-1260P,Intel Iris Xe Graphics,32GB,256GB,"13.4""",55,3-5 giờ,office,3,"4,7",12,Hàng tuyển chọn tại Laptop OSCAR,Laptop OSCAR selected device,22.500.000,25500000,Máy cũ,Máy cũ,Liên hệ xác nhận hàng,Contact to confirm,"i7-1260P | 32GB RAM | 256GB SSD | 13.4"" Touch FHD","i7-1260P | 32GB RAM | 256GB SSD | 13.4"" Touch FHD",,#255f85,/product-images/097-dell-xps-13-plus-9320-i7-1260p-1-1-2c7c1cee225b.png,https://nextgold.vn/dell-xps-13-plus-9320/
7,"Surface Laptop Go 2 – i5-1035G1, 16GB RAM, 256GB NVMe, 12.4” 2K Touch",laptop-cu,Other,catalog,i5-1035G1,Intel Iris Plus Graphics,16GB,256GB,"12.4""",41,3-5 giờ,student,3,"4,7",12,Hàng tuyển chọn tại Laptop OSCAR,Laptop OSCAR selected device,9.500.000,12500000,Máy cũ,Máy cũ,Liên hệ xác nhận hàng,Contact to confirm,"i5-1035G1 | 16GB RAM | 256GB SSD | 12.4"" Touch 2K","i5-1035G1 | 16GB RAM | 256GB SSD | 12.4"" Touch 2K",,#4a5568,/product-images/098-surface-laptop-go-2-i5-1035g1-1-1-b9ef812cb0f5.png,https://nextgold.vn/surface-laptop-go-2/
8,"Dell XPS 15 9500 – i7-10750H, 32GB, GTX 1650Ti, 4K Touch Mỏng Nhẹ",laptop-cu,Dell,catalog,i7-10750H,GTX 1650Ti,32GB,256GB,"15.6""",86,2-4 giờ,gaming,3,"4,7",12,Hàng tuyển chọn tại Laptop OSCAR,Laptop OSCAR selected device,16.800.000,19800000,Máy cũ,Máy cũ,Liên hệ xác nhận hàng,Contact to confirm,"i7-10750H | 32GB RAM | 256GB SSD | 15.6"" Touch 4K | GTX 1650Ti","i7-10750H | 32GB RAM | 256GB SSD | 15.6"" Touch 4K | GTX 1650Ti",,#255f85,/product-images/091-dell-xps-15-9500-i7-10750h-ram-32gb-4-70bb4385e401.png,https://nextgold.vn/dell-xps-15-9500/
9,"Dell Precision 5560 Refurbished i7-11850H, RAM 64GB, Quadro T1200 4GB, FullHD+ Giá Chỉ 20.500.000 VNĐ",laptop-cu,Dell,catalog,i7-11850H,Quadro T1200 4GB,64GB,256GB,"15.6""",86,2-4 giờ,render,3,"4,7",12,Hàng tuyển chọn tại Laptop OSCAR,Laptop OSCAR selected device,20.500.000,25500000,Máy cũ,Máy cũ,Liên hệ xác nhận hàng,Contact to confirm,"i7-11850H | 64GB RAM | 256GB SSD | 15.6"" FHD | Quadro T1200","i7-11850H | 64GB RAM | 256GB SSD | 15.6"" FHD | Quadro T1200",,#255f85,/product-images/085-dell-precision-5560-nextgold-1-96166ba57df3.png,https://nextgold.vn/dell-precision-5560-refurbished/
10,"ThinkPad T15 Gen 2 – i5-1135G7, RAM 16GB, SSD 256GB, Giá Chỉ 8.8 Triệu",laptop-cu,Lenovo,catalog,i5-1135G7,Intel Iris Xe Graphics,16GB,256GB,"15.6""",57,4-7 giờ,office,3,"4,7",12,Hàng tuyển chọn tại Laptop OSCAR,Laptop OSCAR selected device,8.800.000,9800000,Máy cũ,Máy cũ,Liên hệ xác nhận hàng,Contact to confirm,"i5-1135G7 | 16GB RAM | 256GB SSD | 15.6""","i5-1135G7 | 16GB RAM | 256GB SSD | 15.6""",,#f15a24,/product-images/093-thinkpad-t15-gen-2-i5-1135g7-1-d26d00e80214.png,https://nextgold.vn/thinkpad-t15-gen-2/
